Text,Sentiment,cleaned_text
"Kickers on my watchlist XIDE TIT SOQ PNK CPW BPZ AJ  trade method 1 or method 2, see prev posts",1,kicker watchlist xide tit soq pnk cpw bpz aj trade method method see prev post
user: AAP MOVIE. 55% return for the FEA/GEED indicator just 15 trades for the year.  AWESOME.  ,1,user aap movie return feageed indicator trade year awesome
user I'd be afraid to short AMZN - they are looking like a near-monopoly in eBooks and infrastructure-as-a-service,1,user id afraid short amzn looking like nearmonopoly ebooks infrastructureasaservice
MNTA Over 12.00  ,1,mnta
OI  Over 21.37  ,1,oi
PGNX  Over 3.04  ,1,pgnx
AAP - user if so then the current downtrend will break. Otherwise just a short-term correction in med-term downtrend.,-1,aap user current downtrend break otherwise shortterm correction medterm downtrend
Monday's relative weakness. NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB  ,-1,monday relative weakness nyx win tie tap ice int bmc aon c chk biib
GOOG - ower trend line channel test & volume support.   ,1,goog ower trend line channel test volume support
AAP will watch tomorrow for ONG entry.,1,aap watch tomorrow ong entry
i'm assuming FCX opens tomorrow above the 34.25 trigger buy. still very much like this setup.  ,1,im assuming fcx open tomorrow trigger buy still much like setup
"It really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon bac spx jpm",1,really worry everyone expects market rally nowusually exact opposite happens every time shall see soon bac spx jpm
AAP GAMCO's arry Haverty : Apple Is Extremely Cheap  Great Video !!!,1,aap gamcos arry haverty apple extremely cheap great video
user Maykiljil posted that.  I agree that MSFT is going higher & possibly north of 30,1,user maykiljil posted agree msft going higher possibly north
Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up  ,1,momentum coming back etfc broke resistance solid volume friday ong setup
HA Hitting 35.65 means resume targeting 42 level ..  ,1,ha hitting mean resume targeting level
user gameplan shot for today but I liked  on trend break from May or c+h break. OC weekly trend break back to july 2011,1,user gameplan shot today liked trend break may ch break oc weekly trend break back july
with FCX gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,1,fcx gapping well ideal entry looking pull least open entry
"user great list again, particularly like FISV and SYK. All buy & hold types should check the free list out.  ",1,user great list particularly like fisv syk buy hold type check free list
ATHX upper trend line   ,1,athx upper trend line
NG - nice PNF BY - breakout - need follow thru  ,1,ng nice pnf breakout need follow thru
Won't believe AAP uptrend is back until it crosses above MA(50),-1,wont believe aap uptrend back cross
X swing still on   ,1,x swing still
SWY - 30% of float short and breaking out - ouch,1,swy float short breaking ouch
BIOF wants 4.90's comin!!!,1,biof want comin
VS inverted head and shoulder play out well. Wasn't able to catch the entry. Eyes on it  ,1,v inverted head shoulder play well wasnt able catch entry eye
" red, not ready for break out.",-1,red ready break
EI close to breaking out now.  My trigger is at 30.40.   ,1,ei close breaking trigger
user BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO,1,user bac quick trade latebut investing good entry point imho
"CHDN - ong   49.02. Trailing Stop  56.66 from 6 prior Stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -  ",1,chdn ong trailing stop prior stop
AAP VOME today is impressive. At this rate and well probably get to 30M shares traded today.,1,aap vome today impressive rate well probably get share traded today
"user: been adding VXY long off the bottom today for trade, also got WPI near low",-1,user adding vxy long bottom today trade also got wpi near low
"I repeat, if global economy is going to get better this year go with C instead of BAC",1,repeat global economy going get better year go c instead bac
GOOG go ONG on close above 725.,1,goog go ong close
NKD looking like a good short. Failed to break price level resistance at 116 today.,-1,nkd looking like good short failed break price level resistance today
GS like the price action. So far holding above 130. Still deciding whether to go ONG calls or stocks.,1,g like price action far holding still deciding whether go ong call stock
SBX buy when it clears resistance at 54.5,1,sbx buy clear resistance
here is NEW up target for AAP and notice shakeout reading at -8.49 ! and we had buy dot Monday  ,1,new target aap notice shakeout reading buy dot monday
Too early to short into this move. Stock Market needs a few days to settle down. #Patience  COH BWD DT AAP PAY,-1,early short move stock market need day settle patience coh bwd dt aap pay
AAP obbers hit Apple Store in Paris.  Prefer to take merchendise over cash.  Bullish.  ,1,aap obbers hit apple store paris prefer take merchendise cash bullish
AXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything O If I'm wrong I will eat crow :),1,axa tip day buy even sign newsletter anything im wrong eat crow
X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2  ,1,x due move today kirby daily around still swinging
"AAP 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset  ",1,aap min short longs fully added look pop marketshakeout reset
NG stellar move - still long swing - full position - I believe user & user in it 2  ,1,ng stellar move still long swing full position believe user user
ATICE & TADE SETP:  KO AN CNX,1,atice tade setp ko cnx
IDCC 50SMA acting as a good support. Short-term momentum indicators have switched to the upside.  ,1,idcc sma acting good support shortterm momentum indicator switched upside
"NEW POST: BAC Is At 19 Month Highs, But Showing Signs of Stress  ",1,new post bac month high showing sign stress
